Date,Headline,News,Analysis,Feature,Sports,Video/Audio,Photo,Illustration,Interactive,Text,Link,,,,,,,,,,,,,,,,,Source,image_path,Id,name,sales,publisher
2-Oct,Allergy to Originality,,,x,,x,,,,,https://www.nytimes.com/video/opinion/100000001695225/allergy-to-originality.html?playlistId=100000003465291,,,,,,,,,,,,,,,,,New York Times,photo/nyt.20.png,NYT23,NYT23,30,NYT
1-Oct,Richard Twice,,,x,,x,,,,,https://www.nytimes.com/video/opinion/100000005279071/richard-twice.html?playlistId=100000004867895&region=video-grid&version=video-grid-thumbnail&contentCollection=Op-Docs&contentPlacement=5&module=recent-videos&action=click&pgType=Multimedia&eventName=video-grid-click,,,,,,,,,,,,,,,,,New York Times,photo/nyt.48.png,NYT24,NYT24,30,NYT
19-Sep,Sexism and Shopping: Female Players Get Most of the Odd Questions at the U.S. Open,,x,,,,,,,x,https://www.nytimes.com/2017/09/08/upshot/sexism-and-shopping-female-players-get-most-of-the-odd-questions-at-the-us-open.html?rref=collection%2Fsectioncollection%2Fupshot&action=click&contentCollection=upshot&region=stream&module=stream_unit&version=latest&contentPlacement=8&pgtype=sectionfront,,,,,,,,,,,,,,,,,New York Times,photo/nyt53.png,NYT25,NYT25,30,NYT
26-Sep,How Fake News Turned a Small Town Upside Down,,,x,,,,,,x,https://www.nytimes.com/2017/09/26/magazine/how-fake-news-turned-a-small-town-upside-down.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt15.png,NYT26,NYT26,30,NYT
20-Sep,Climate Change Claims a Lake and an Identity,,,x,,,,,,x,https://www.nytimes.com/interactive/2016/07/07/world/americas/bolivia-climate-change-lake-poopo.html?mtrref=undefined,,,,,,,,,,,,,,,,,New York Times,photo/nyt29.png,NYT27,NYT27,30,NYT
26-Sep,This Your Life on Private Equity,,x,,,,,,,,https://www.nytimes.com/interactive/2016/08/02/business/dealbook/this-is-your-life-private-equity.html,,,,,,,,,,,,,,,,,New York Times,photo/nyt27.png,NYT28,NYT28,30,NYT
17-Sep,The Fine Line: What Makes Simone Biles the World's Best Gymnast,,,,x,,,,x,,https://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html?_r=0,,,,,,,,,,,,,,,,,New York Times,photo/nyt54.png,NYT29,NYT29,30,NYT
27-Sep,The Fine Line: What Makes Simone Biles the World's Best Gymnast,,,,x,,,,x,,https://www.nytimes.com/interactive/2016/08/05/sports/olympics-gymnast-simone-biles.html?_r=0,,,,,,,,,,,,,,,,,New York Times,photo/nyt99.png,NYT30,NYT30,30,NYT
27-Sep,Healthy Behaviors That Boost Brain Health,,,x,,,,,x,,http://www.washingtonpost.com/sf/brand-connect/aarp/boost-brain-health/,,,,,,,,,,,,,,,,,The Washington Post,photo/WST03.png,WST01,WST01,30,WST
23-Sep,"Disabled, or Just Desperate?",,,x,,,,,,x,http://www.washingtonpost.com/sf/local/2017/03/30/disabled-or-just-desperate/?utm_term=.a233b8aab58e,,,,,,,,,,,,,,,,,The Washington Post,photo/WST17.png,WST02,WST02,30,WST
18-Oct,The Wizards' Shooting Stars,,,,x,,,,x,,http://www.washingtonpost.com/wp-srv/special/sports/wizards-shooting-stars/,,,,,,,,,,,,,,,,,The Washington Post,photo/WST30.png,WST03,WST03,30,WST
